[1000,0,65535,255,937807,16639,16639,255,65535,16639,65535,16639,65535,937807,937807,1039,937807,1039,255,16639,16639,65535,1039,937807,937807,65535,16639],
[1000,0,16639,16639,65535,65535,937807,255,16639,1039,937807,937807,255,16639,1039,255,937807,937807,1039,937807,16639,16639,16639,255,255,937807,937807],
[1000,0,16639,16639,255,16639,65535,1039,937807,255,255,255,65535,255,16639,1039,937807,255,255,16639,16639,937807,937807,65535,16639,65535,1039],
[1000,0,255,16639,65535,937807,255,255,65535,1039,937807,65535,16639,1039,16639,937807,16639,65535,65535,255,16639,937807,937807,16639,65535,937807,65535],
[1000,0,1039,65535,65535,937807,937807,16639,16639,255,937807,255,16639,937807,65535,1039,937807,16639,65535,1039,65535,255,937807,16639,255,65535,16639],
[1000,0,1039,255,16639,1039,937807,16639,1039,16639,1039,16639,65535,255,16639,937807,65535,16639,65535,255,16639,16639,255,16639,937807,937807,65535],
[1000,0,16639,937807,255,937807,937807,255,16639,1039,937807,1039,255,255,16639,937807,16639,16639,16639,1039,16639,937807,937807,65535,65535,1039,937807],
[1000,0,65535,255,937807,255,65535,16639,937807,16639,255,65535,937807,16639,937807,937807,255,65535,937807,16639,1039,65535,1039,255,937807,255,1039],
[1000,0,937807,65535,65535,1039,937807,1039,65535,937807,937807,255,937807,65535,16639,65535,1039,937807,937807,65535,65535,255,65535,255,16639,937807,16639],
[1000,0,255,937807,1039,937807,937807,937807,1039,16639,65535,255,1039,16639,255,16639,937807,937807,1039,16639,16639,65535,255,65535,16639,255,1039],
[1000,0,16639,937807,1039,1039,65535,937807,16639,255,16639,16639,255,255,937807,937807,1039,937807,16639,1039,65535,255,1039,1039,255,65535,65535],
[1000,0,65535,255,1039,1039,937807,937807,1039,255,937807,937807,65535,937807,1039,65535,16639,255,65535,65535,16639,937807,937807,255,937807,255,1039],
[1000,0,16639,16639,255,1039,1039,65535,255,16639,937807,937807,1039,1039,1039,937807,65535,255,65535,1039,1039,16639,16639,16639,65535,16639,937807],
[1000,0,16639,16639,65535,255,255,65535,255,255,65535,1039,16639,1039,255,65535,937807,937807,255,65535,65535,65535,65535,937807,937807,937807,16639],
[1000,0,65535,65535,255,16639,255,65535,65535,65535,65535,1039,65535,937807,65535,937807,937807,937807,16639,16639,937807,255,1039,1039,16639,16639,937807],
[1000,0,65535,1039,65535,65535,255,937807,1039,937807,255,65535,16639,65535,937807,16639,255,65535,255,1039,937807,937807,937807,255,1039,65535,16639],
[1000,0,255,1039,255,255,937807,65535,65535,1039,255,937807,1039,1039,255,16639,255,65535,255,1039,16639,1039,937807,16639,937807,16639,65535],
[1000,0,16639,65535,1039,255,255,255,255,937807,16639,65535,255,65535,255,937807,1039,255,1039,65535,1039,1039,65535,937807,16639,937807,65535],
[1000,0,255,1039,1039,1039,255,65535,255,255,255,1039,16639,255,16639,1039,937807,16639,937807,1039,16639,16639,16639,937807,937807,1039,65535],
[1000,0,1039,16639,255,16639,16639,1039,65535,16639,1039,65535,16639,937807,937807,1039,16639,65535,65535,255,16639,255,65535,937807,65535,16639,255],
